time,V_C,I_L,V_IN
0.000116,2.791514339,2.078530942,-7.088357781
0.0001165,6.475407602,1.897023723,-7.652387583
0.000117,9.782813305,1.671281521,-10.88297514
0.0001175,12.63468943,1.3961449,-11.36599754
0.000118,14.95649452,1.112051972,-8.080767203
0.0001185,16.76552004,0.842117092,-6.842467808
0.000119,18.08143321,0.581492763,-5.622815554
0.0001195,18.91686977,0.322878279,-5.86396756
0.00012,19.27438323,0.061674377,-7.682235377
0.0001205,19.13691252,-0.21243687,-11.12912971
0.000121,18.46221672,-0.522691504,-16.08354971
0.0001215,17.1904892,-0.852083819,-21.03594764
0.000122,15.28191243,-1.215001267,-26.73033115
0.0001225,12.68336833,-1.587307793,-31.37393235
0.000123,9.404978344,-1.946542243,-35.30391479
0.0001235,5.458123131,-2.317831018,-39.50354844
0.000124,0.823739352,-2.699597535,-45.20622262
0.0001245,-4.51312262,-3.058972513,-51.11181251
0.000125,-10.50828213,-3.410593831,-54.39156755
0.0001255,-17.12262496,-3.725431358,-56.04739703
0.000126,-24.26583345,-3.975999607,-58.89055616
0.0001265,-31.82168595,-4.168977887,-60.90885728
0.000127,-39.68340145,-4.308170061,-61.62403361
0.0001275,-47.73668844,-4.383820642,-64.6910478
0.000128,-55.8642165,-4.390130631,-67.05594286
0.0001285,-63.94317642,-4.325885732,-69.53104673
0.000129,-71.85153008,-4.205894722,-70.86003499
0.0001295,-79.49716202,-4.042636616,-73.88601983
0.00013,-86.78687848,-3.822279063,-81.06675451
0.0001305,-93.64720702,-3.595836334,-91.04223208
0.000131,-100.1746266,-3.462451959,-99.72165178
0.0001315,-106.4684757,-3.330265834,-106.5960958
0.000132,-112.5058943,-3.182218557,-113.34781
0.0001325,-118.284518,-3.06435571,-118.5885284
0.000133,-123.8590334,-2.976437178,-125.6184638
0.0001335,-129.2870082,-2.887537624,-132.6194207
0.000134,-134.5887425,-2.834180007,-140.8260131
0.0001345,-139.8358169,-2.841052788,-149.0705011
0.000135,-145.0862301,-2.833250288,-156.0732849
0.0001355,-150.3042271,-2.803231469,-163.2384555
0.000136,-155.5023793,-2.809693304,-169.233622
0.0001365,-160.7261376,-2.842196973,-171.9378055
0.000137,-165.9968672,-2.847588551,-173.6099367
0.0001375,-171.2420178,-2.812474973,-173.3120664
0.000138,-176.381199,-2.727153949,-173.7787598
0.0001385,-181.3119266,-2.583895178,-171.972621
0.000139,-185.9032772,-2.365528707,-167.6109518
0.0001395,-190.0368259,-2.089394847,-167.7798137
0.00014,-193.6391276,-1.792410686,-169.6057274
0.0001405,-196.6719711,-1.484157092,-169.6074628
0.000141,-199.1237919,-1.158325242,-168.657142
0.0001415,-200.9520448,-0.812266946,-166.6179943
0.000142,-202.104829,-0.436243898,-165.0058498
0.0001425,-202.5442328,-0.036929958,-162.9609871
0.000143,-202.2464439,0.361860723,-160.0039133
0.0001435,-201.204829,0.772522993,-154.1612544
0.000144,-199.3341235,1.248089256,-147.0449881
0.0001445,-196.5422477,1.774322255,-139.5513509
0.000145,-192.7858673,2.283094001,-133.3137284
0.0001455,-188.1017296,2.77159793,-128.6875594
0.000146,-182.5152461,3.261208783,-124.9550628
0.0001465,-176.0382722,3.7366049,-120.7174622
0.000147,-168.7163959,4.155696712,-116.9560448
0.0001475,-160.6643057,4.546753178,-111.6116967
0.000148,-151.8833209,4.958007856,-101.5489183
0.0001485,-141.8299513,6.082552531,-89.71055414
